Summary stop stats,,,,,,,,,,,,,,
Selected days,Selected days,01/04/2026 - 30/04/2026,,,,,,,,,,,,
Mean value,Mean value,Average,,,,,,,,,,,,
Columns,Columns,Some are hidden,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Occupancy,Occupancy,Occupancy,Occupancy,Delay
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Arrival,Arrival,Departure,Departure,Delay
Ident.,Name,APC,All,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Ø
286,Károli Gáspár tér,562,2270,767,1.4,941,1.7,1708,3.0,8021,14.3,7852,14.0,00:01:28
296,Klinikai Központ Kenézy Campus,427,1640,140,0.3,1148,2.7,1288,3.0,6920,16.2,5900,13.8,00:01:12
231,Házgyár utca,514,1870,91,0.2,1459,2.8,1550,3.0,2883,5.6,1458,2.8,00:01:52
385,Malompark,576,1926,939,1.6,795,1.4,1734,3.0,5136,8.9,5286,9.2,00:03:01
177,Felsőjózsai utca,196,1006,412,2.1,177,0.9,589,3.0,262,2.5,474,4.0,00:00:59
532,Széna tér,852,3697,1426,1.7,1134,1.3,2560,3.0,1160,2.7,1444,3.3,00:01:07
573,Tőzsér utca,531,2564,107,0.2,1480,2.8,1587,3.0,4772,9.0,3366,6.3,00:02:51
249,Hun utca,884,3061,634,0.7,2007,2.3,2641,3.0,8403,9.5,7006,7.9,00:00:54
843,Doberdó utca,590,2645,575,1.0,1172,2.0,1747,3.0,8722,14.8,8099,13.7,00:02:12
535,Szent Anna utca ,362,1635,293,0.8,772,2.1,1065,2.9,6168,17.0,5689,15.7,00:01:39
570,Torockó utca,468,1700,1267,2.7,103,0.2,1370,2.9,2097,4.5,3282,7.0,00:01:22
613,Wesselényi utca,1096,5291,1327,1.2,1844,1.7,3171,2.9,12286,11.2,11705,10.7,00:02:52
083,Bolyai utca,358,1530,433,1.2,601,1.7,1034,2.9,3689,10.3,3512,9.8,00:03:54
