Summary stop stats,,,,,,,,,,,,,,
Selected days,Selected days,01/04/2026 - 30/04/2026,,,,,,,,,,,,
Mean value,Mean value,Average,,,,,,,,,,,,
Columns,Columns,Some are hidden,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Occupancy,Occupancy,Occupancy,Occupancy,Delay
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Arrival,Arrival,Departure,Departure,Delay
Ident.,Name,APC,All,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Ø
570,Torockó utca,468,1700,1267,2.70726495726496,103,0.22008547008547,1370,2.92735042735043,2097,4.48076923076923,3282,7.01282051282051,0.000949074074074074
613,Wesselényi utca,1096,5291,1327,1.21076642335766,1844,1.68248175182482,3171,2.89324817518248,12286,11.2098540145985,11705,10.6797445255474,0.00199074074074074
083,Bolyai utca,358,1530,433,1.20949720670391,601,1.67877094972067,1034,2.88826815642458,3689,10.304469273743,3512,9.81005586592179,0.00270833333333333
263,Jégcsarnok,473,2774,1363,2.8816067653277,0,0,1363,2.8816067653277,0,,1363,2.8816067653277,0.000173611111111111
014,DE Böszörményi úti Campus,1168,5687,1859,1.5916095890411,1478,1.26541095890411,3337,2.85702054794521,10303,8.82106164383562,10622,9.09417808219178,0.00203703703703704
620,Inter Tan-Ker Zrt.,733,2477,1028,1.40245566166439,1065,1.45293315143247,2093,2.85538881309686,1617,4.30053191489362,1578,3.16867469879518,0.00188657407407407
266,Jókai utca,961,4191,977,1.01664932362123,1765,1.8366285119667,2742,2.85327783558793,9830,10.2289281997919,9025,9.39125910509886,0.00193287037037037
457,Pál utca,60,410,25,0.416666666666667,146,2.43333333333333,171,2.85,333,5.55,212,3.53333333333333,0.00167824074074074
314,Kishegyesi út,1455,6464,2129,1.46323024054983,2014,1.38419243986254,4143,2.84742268041237,14572,10.0151202749141,14658,10.0742268041237,0.00185185185185185
242,Holló László sétány,1553,7731,1344,0.865421764327109,3015,1.94140373470702,4359,2.80682549903413,7971,5.13264649066323,6206,3.99613650998068,0.00221064814814815
107,Csemete utca,180,910,178,0.988888888888889,327,1.81666666666667,505,2.80555555555556,2672,14.8444444444444,2510,13.9444444444444,0.00197916666666667
